Pseudonym,Faculty,Post,Duration of employment,Frequency educator believe students are using AI,AI used by respondents,Professional Development in AI,Modified the course keeping AI in mind
SR517,"Science, Engineering  & Tech",tenured staff,0 to 5,Rarely,Research Rabbit,INADEQUATE P.D.,no
SR518,"Arts, Business, Law  & Economics",adjunct senior lecturer,5 to 10,Rarely,Midjourney,P.D. UNDERTAKEN,yes
SR519,Not indicated ,adjunct senior lecturer,5 to 10,Rarely,Grammarly,P.D. UNDERTAKEN,no
SR520,Not indicated ,tenured staff,>15,Often,Otter,P.D. UNDERTAKEN,no
SR521,"Arts, Business, Law  & Economics",tenured staff,>15,Often,Grammarly,P.D. UNDERTAKEN,yes
SR522,Not indicated ,tenured staff,10 to 15,Never,Research Rabbit,NO P.D.,no
SR523,Not indicated ,on fixed term ,10 to 15,Never,Bing AI,INADEQUATE P.D.,yes
SR524, Health & Medical Sciences,adjunct senior lecturer,0 to 5,Often,Grammarly,INADEQUATE P.D.,no
SR525,Not indicated ,adjunct senior lecturer,5 to 10,Never,Bing AI,NO P.D.,no
SR526,"Science, Engineering  & Tech",on fixed term ,5 to 10,Sometimes,Grammarly,INADEQUATE P.D.,no
SR527,"Science, Engineering  & Tech",tenured staff,5 to 10,Sometimes,Grammarly,INADEQUATE P.D.,yes
SR528,"Arts, Business, Law  & Economics",on fixed term ,10 to 15,Often,Bing AI,INADEQUATE P.D.,no
SR529,Not indicated ,on fixed term ,>15,Never,Dalle-E,P.D. UNDERTAKEN,no
SR530,"Arts, Business, Law  & Economics",on fixed term ,>15,Rarely,Grammarly,P.D. UNDERTAKEN,yes
SR531,"Science, Engineering  & Tech",adjunct senior lecturer,>15,Sometimes,Midjourney,NO P.D.,no
SR532,Not indicated ,on fixed term ,0 to 5,Often,Otter,P.D. UNDERTAKEN,no
SR533,Not indicated ,adjunct senior lecturer,5 to 10,Never,Research Rabbit,INADEQUATE P.D.,no
SR534,"Arts, Business, Law  & Economics",adjunct senior lecturer,5 to 10,Often,Dalle-E,P.D. UNDERTAKEN,yes
SR535,"Science, Engineering  & Tech",adjunct senior lecturer,5 to 10,Rarely,Bing AI,P.D. UNDERTAKEN,no
SR536,Not indicated ,tenured staff,10 to 15,Sometimes,Dalle-E,P.D. UNDERTAKEN,yes
SR537,"Arts, Business, Law  & Economics",adjunct senior lecturer,>15,Often,ChatGPT,P.D. UNDERTAKEN,yes
SR538,"Science, Engineering  & Tech",adjunct senior lecturer,>15,Often,ChatGPT,NO P.D.,no
SR539,"Arts, Business, Law  & Economics",tenured staff,>15,Often,Grammarly,INADEQUATE P.D.,no
SR540, Health & Medical Sciences,adjunct senior lecturer,0 to 5,Rarely,Grammarly,INADEQUATE P.D.,yes
SR541,Not indicated ,on fixed term ,0 to 5,Often,Midjourney,NO P.D.,no
SR542, Health & Medical Sciences,on fixed term ,0 to 5,Rarely,Otter,INADEQUATE P.D.,no
SR543,"Science, Engineering  & Tech",adjunct senior lecturer,0 to 5,Rarely,Research Rabbit,INADEQUATE P.D.,no
SR544, Health & Medical Sciences,tenured staff,0 to 5,Rarely,Dalle-E,INADEQUATE P.D.,no
SR545, Health & Medical Sciences,on fixed term ,5 to 10,Sometimes,ChatGPT,P.D. UNDERTAKEN,no
SR546,"Science, Engineering  & Tech",tenured staff,5 to 10,Sometimes,Grammarly,P.D. UNDERTAKEN,no
SR547,"Arts, Business, Law  & Economics",tenured staff,>15,Often,Elicit,NO P.D.,no
SR548, Health & Medical Sciences,on fixed term ,>15,Often,Elicit,P.D. UNDERTAKEN,no
SR549,"Arts, Business, Law  & Economics",tenured staff,10 to 15,Sometimes,Research Rabbit,INADEQUATE P.D.,no
SR550, Health & Medical Sciences,on fixed term ,10 to 15,Never,Dalle-E,P.D. UNDERTAKEN,no
SR551,"Arts, Business, Law  & Economics",tenured staff,0 to 5,Sometimes,Grammarly,P.D. UNDERTAKEN,no
SR552,"Science, Engineering  & Tech",on fixed term ,5 to 10,Rarely,Grammarly,P.D. UNDERTAKEN,no
SR553, Health & Medical Sciences,adjunct senior lecturer,5 to 10,Sometimes,ChatGPT,P.D. UNDERTAKEN,no
SR554,"Science, Engineering  & Tech",on fixed term ,5 to 10,Rarely,ChatGPT,NO P.D.,yes
SR555, Health & Medical Sciences,on fixed term ,10 to 15,Often,Grammarly,INADEQUATE P.D.,no
SR556,"Science, Engineering  & Tech",on fixed term ,>15,Never,Bing AI,INADEQUATE P.D.,yes
SR557,"Science, Engineering  & Tech",on fixed term ,>15,Often,Grammarly,NO P.D.,no
SR558, Health & Medical Sciences,tenured staff,>15,Rarely,Research Rabbit,INADEQUATE P.D.,yes
SR559, Health & Medical Sciences,adjunct senior lecturer,0 to 5,Rarely,Grammarly,INADEQUATE P.D.,no
SR560, Health & Medical Sciences,on fixed term ,0 to 5,Rarely,Midjourney,INADEQUATE P.D.,no
SR561,Not indicated ,tenured staff,0 to 5,Never,Otter,P.D. UNDERTAKEN,no
SR562,"Arts, Business, Law  & Economics",adjunct senior lecturer,0 to 5,Sometimes,Midjourney,P.D. UNDERTAKEN,yes
SR563,Not indicated ,adjunct senior lecturer,0 to 5,Often,Midjourney,NO P.D.,no
SR564,Not indicated ,adjunct senior lecturer,5 to 10,Often,Bing AI,P.D. UNDERTAKEN,no
SR565,"Science, Engineering  & Tech",adjunct senior lecturer,5 to 10,Sometimes,Bing AI,INADEQUATE P.D.,no
SR566, Health & Medical Sciences,on fixed term ,0 to 5,Often,Elicit,P.D. UNDERTAKEN,yes
SR567,"Arts, Business, Law  & Economics",on fixed term ,5 to 10,Never,Grammarly,P.D. UNDERTAKEN,yes
SR568,"Science, Engineering  & Tech",tenured staff,5 to 10,Often,Midjourney,P.D. UNDERTAKEN,yes
SR569,Not indicated ,tenured staff,5 to 10,Rarely,Bing AI,P.D. UNDERTAKEN,yes
SR570, Health & Medical Sciences,tenured staff,10 to 15,Sometimes,ChatGPT,NO P.D.,no
SR571,"Science, Engineering  & Tech",adjunct senior lecturer,>15,Never,Grammarly,INADEQUATE P.D.,no
SR572, Health & Medical Sciences,adjunct senior lecturer,>15,Sometimes,Research Rabbit,INADEQUATE P.D.,no
SR573,"Science, Engineering  & Tech",on fixed term ,>15,Never,Otter,NO P.D.,no
SR574, Health & Medical Sciences,adjunct senior lecturer,0 to 5,Rarely,Dalle-E,INADEQUATE P.D.,no
SR575,Not indicated ,adjunct senior lecturer,5 to 10,Sometimes,Grammarly,INADEQUATE P.D.,no
SR576,"Arts, Business, Law  & Economics",adjunct senior lecturer,5 to 10,Often,Dalle-E,INADEQUATE P.D.,no
SR577,Not indicated ,tenured staff,5 to 10,Never,Midjourney,P.D. UNDERTAKEN,no
SR578,"Arts, Business, Law  & Economics",tenured staff,10 to 15,Sometimes,Otter,P.D. UNDERTAKEN,no
SR579, Health & Medical Sciences,on fixed term ,>15,Often,Dalle-E,NO P.D.,no
SR580,"Science, Engineering  & Tech",adjunct senior lecturer,>15,Sometimes,Midjourney,P.D. UNDERTAKEN,no
SR581,Not indicated ,adjunct senior lecturer,>15,Sometimes,ChatGPT,INADEQUATE P.D.,no
SR582,"Arts, Business, Law  & Economics",on fixed term ,0 to 5,Sometimes,Dalle-E,P.D. UNDERTAKEN,no
SR583,Not indicated ,adjunct senior lecturer,0 to 5,Never,Otter,P.D. UNDERTAKEN,no
SR584,"Arts, Business, Law  & Economics",adjunct senior lecturer,0 to 5,Often,Elicit,P.D. UNDERTAKEN,no
SR585,Not indicated ,tenured staff,0 to 5,Rarely,Grammarly,P.D. UNDERTAKEN,yes
SR586,"Arts, Business, Law  & Economics",on fixed term ,0 to 5,Never,Midjourney,NO P.D.,no
SR587,"Arts, Business, Law  & Economics",on fixed term ,5 to 10,Never,Grammarly,INADEQUATE P.D.,no
SR588, Health & Medical Sciences,on fixed term ,5 to 10,Never,Otter,INADEQUATE P.D.,no
SR589,"Arts, Business, Law  & Economics",on fixed term ,>15,Rarely,Bing AI,NO P.D.,no
SR590, Health & Medical Sciences,tenured staff,>15,Often,Midjourney,INADEQUATE P.D.,no
SR591,"Arts, Business, Law  & Economics",tenured staff,10 to 15,Often,Dalle-E,INADEQUATE P.D.,no
SR592,"Science, Engineering  & Tech",adjunct senior lecturer,10 to 15,Often,Midjourney,INADEQUATE P.D.,yes
SR593,"Science, Engineering  & Tech",adjunct senior lecturer,0 to 5,Sometimes,Grammarly,P.D. UNDERTAKEN,yes
SR594,"Science, Engineering  & Tech",adjunct senior lecturer,5 to 10,Sometimes,ChatGPT,P.D. UNDERTAKEN,no
SR595,"Arts, Business, Law  & Economics",adjunct senior lecturer,5 to 10,Sometimes,Midjourney,NO P.D.,no
SR596, Health & Medical Sciences,tenured staff,5 to 10,Rarely,Dalle-E,P.D. UNDERTAKEN,no
SR597, Health & Medical Sciences,on fixed term ,10 to 15,Sometimes,Bing AI,INADEQUATE P.D.,no
SR598,"Arts, Business, Law  & Economics",tenured staff,>15,Rarely,Elicit,P.D. UNDERTAKEN,yes
SR599,"Science, Engineering  & Tech",adjunct senior lecturer,>15,Often,Research Rabbit,P.D. UNDERTAKEN,no
SR600,"Science, Engineering  & Tech",tenured staff,>15,Sometimes,ChatGPT,P.D. UNDERTAKEN,no
SR601, Health & Medical Sciences,on fixed term ,0 to 5,Sometimes,Elicit,P.D. UNDERTAKEN,yes
SR602,"Science, Engineering  & Tech",on fixed term ,0 to 5,Never,Bing AI,NO P.D.,no
SR603,Not indicated ,tenured staff,0 to 5,Rarely,Midjourney,INADEQUATE P.D.,yes
SR604, Health & Medical Sciences,tenured staff,0 to 5,Often,Grammarly,INADEQUATE P.D.,no
SR605,"Science, Engineering  & Tech",tenured staff,0 to 5,Never,Otter,NO P.D.,yes
SR606, Health & Medical Sciences,adjunct senior lecturer,5 to 10,Never,Grammarly,INADEQUATE P.D.,yes
SR607,Not indicated ,tenured staff,5 to 10,Often,Elicit,INADEQUATE P.D.,no
SR608, Health & Medical Sciences,tenured staff,0 to 5,Never,Dalle-E,INADEQUATE P.D.,no
SR609, Health & Medical Sciences,tenured staff,5 to 10,Rarely,Grammarly,P.D. UNDERTAKEN,yes
SR610, Health & Medical Sciences,on fixed term ,5 to 10,Rarely,ChatGPT,P.D. UNDERTAKEN,no
SR611, Health & Medical Sciences,on fixed term ,5 to 10,Sometimes,Grammarly,NO P.D.,no
SR612,Not indicated ,adjunct senior lecturer,10 to 15,Never,Dalle-E,P.D. UNDERTAKEN,no
SR613,"Arts, Business, Law  & Economics",adjunct senior lecturer,>15,Sometimes,Research Rabbit,INADEQUATE P.D.,no
SR614, Health & Medical Sciences,on fixed term ,>15,Never,Midjourney,P.D. UNDERTAKEN,no
SR615, Health & Medical Sciences,on fixed term ,>15,Rarely,Otter,P.D. UNDERTAKEN,no
SR616,"Science, Engineering  & Tech",on fixed term ,0 to 5,Rarely,Elicit,P.D. UNDERTAKEN,no
SR617, Health & Medical Sciences,tenured staff,5 to 10,Rarely,Midjourney,P.D. UNDERTAKEN,yes
SR618,"Science, Engineering  & Tech",tenured staff,5 to 10,Never,Grammarly,NO P.D.,yes
SR619,"Arts, Business, Law  & Economics",on fixed term ,5 to 10,Rarely,Bing AI,INADEQUATE P.D.,yes
SR620,Not indicated ,tenured staff,10 to 15,Never,Midjourney,INADEQUATE P.D.,no
SR621,Not indicated ,tenured staff,>15,Sometimes,Research Rabbit,NO P.D.,no
SR622,"Arts, Business, Law  & Economics",adjunct senior lecturer,>15,Never,Grammarly,INADEQUATE P.D.,yes
SR623,Not indicated ,on fixed term ,>15,Sometimes,Otter,INADEQUATE P.D.,no
SR624,"Arts, Business, Law  & Economics",on fixed term ,0 to 5,Never,Dalle-E,INADEQUATE P.D.,yes
SR625,"Arts, Business, Law  & Economics",tenured staff,0 to 5,Sometimes,Research Rabbit,P.D. UNDERTAKEN,yes
SR626,"Arts, Business, Law  & Economics",on fixed term ,0 to 5,Rarely,Grammarly,P.D. UNDERTAKEN,no
SR627,Not indicated ,adjunct senior lecturer,0 to 5,Sometimes,Research Rabbit,NO P.D.,no
SR628,"Science, Engineering  & Tech",adjunct senior lecturer,0 to 5,Rarely,Midjourney,P.D. UNDERTAKEN,no
SR629,"Arts, Business, Law  & Economics",adjunct senior lecturer,5 to 10,Rarely,Otter,INADEQUATE P.D.,no
SR630, Health & Medical Sciences,on fixed term ,5 to 10,Sometimes,Dalle-E,P.D. UNDERTAKEN,yes
SR631,Not indicated ,on fixed term ,>15,Never,Grammarly,P.D. UNDERTAKEN,no
SR632,"Arts, Business, Law  & Economics",on fixed term ,>15,Never,ChatGPT,P.D. UNDERTAKEN,no
SR633,"Arts, Business, Law  & Economics",on fixed term ,10 to 15,Often,Elicit,P.D. UNDERTAKEN,no
SR634, Health & Medical Sciences,on fixed term ,10 to 15,Never,Dalle-E,NO P.D.,no
SR635,"Science, Engineering  & Tech",adjunct senior lecturer,0 to 5,Often,ChatGPT,INADEQUATE P.D.,no
SR636,"Science, Engineering  & Tech",tenured staff,5 to 10,Never,Research Rabbit,INADEQUATE P.D.,yes
SR637,"Science, Engineering  & Tech",adjunct senior lecturer,5 to 10,Never,Bing AI,NO P.D.,no
SR638,"Arts, Business, Law  & Economics",on fixed term ,5 to 10,Rarely,Dalle-E,INADEQUATE P.D.,yes
SR639,"Arts, Business, Law  & Economics",adjunct senior lecturer,10 to 15,Often,Research Rabbit,INADEQUATE P.D.,yes
SR640,"Arts, Business, Law  & Economics",on fixed term ,>15,Never,ChatGPT,INADEQUATE P.D.,yes
SR641,Not indicated ,on fixed term ,>15,Often,Midjourney,P.D. UNDERTAKEN,yes
SR642, Health & Medical Sciences,adjunct senior lecturer,>15,Rarely,Midjourney,P.D. UNDERTAKEN,yes
SR643,"Arts, Business, Law  & Economics",on fixed term ,0 to 5,Rarely,Bing AI,NO P.D.,no
SR644, Health & Medical Sciences,tenured staff,0 to 5,Often,Elicit,P.D. UNDERTAKEN,no
SR645, Health & Medical Sciences,on fixed term ,0 to 5,Rarely,Dalle-E,INADEQUATE P.D.,yes
SR646,"Science, Engineering  & Tech",tenured staff,0 to 5,Sometimes,Dalle-E,P.D. UNDERTAKEN,yes
SR647,Not indicated ,tenured staff,0 to 5,Sometimes,Dalle-E,P.D. UNDERTAKEN,no
SR648,"Arts, Business, Law  & Economics",on fixed term ,5 to 10,Rarely,Elicit,P.D. UNDERTAKEN,no
SR649,"Science, Engineering  & Tech",adjunct senior lecturer,5 to 10,Sometimes,Research Rabbit,P.D. UNDERTAKEN,no
SR650,"Science, Engineering  & Tech",tenured staff,0 to 5,Never,Otter,NO P.D.,no
SR651,"Arts, Business, Law  & Economics",adjunct senior lecturer,5 to 10,Often,Otter,INADEQUATE P.D.,no
SR652, Health & Medical Sciences,tenured staff,5 to 10,Never,Bing AI,INADEQUATE P.D.,yes
SR653,"Science, Engineering  & Tech",on fixed term ,5 to 10,Often,Dalle-E,NO P.D.,yes
SR654, Health & Medical Sciences,on fixed term ,10 to 15,Rarely,Research Rabbit,INADEQUATE P.D.,no
SR655,Not indicated ,tenured staff,>15,Never,Midjourney,INADEQUATE P.D.,no
SR656, Health & Medical Sciences,on fixed term ,>15,Rarely,ChatGPT,INADEQUATE P.D.,no
SR657,Not indicated ,tenured staff,>15,Rarely,Research Rabbit,P.D. UNDERTAKEN,no
SR658, Health & Medical Sciences,on fixed term ,0 to 5,Often,Elicit,P.D. UNDERTAKEN,yes
SR659,"Science, Engineering  & Tech",adjunct senior lecturer,5 to 10,Often,Otter,NO P.D.,no
SR660,"Science, Engineering  & Tech",on fixed term ,5 to 10,Often,Otter,P.D. UNDERTAKEN,no
SR661,Not indicated ,adjunct senior lecturer,5 to 10,Never,Midjourney,INADEQUATE P.D.,no
SR662,"Arts, Business, Law  & Economics",on fixed term ,10 to 15,Sometimes,Midjourney,P.D. UNDERTAKEN,yes
SR663,Not indicated ,adjunct senior lecturer,>15,Often,Elicit,P.D. UNDERTAKEN,no
SR664,Not indicated ,on fixed term ,>15,Often,ChatGPT,P.D. UNDERTAKEN,no
SR665, Health & Medical Sciences,adjunct senior lecturer,>15,Never,Midjourney,P.D. UNDERTAKEN,no
SR666, Health & Medical Sciences,tenured staff,0 to 5,Often,Bing AI,NO P.D.,yes
SR667,Not indicated ,tenured staff,0 to 5,Never,ChatGPT,INADEQUATE P.D.,no
SR668,"Science, Engineering  & Tech",adjunct senior lecturer,0 to 5,Rarely,Midjourney,INADEQUATE P.D.,no
SR669, Health & Medical Sciences,on fixed term ,0 to 5,Often,Grammarly,NO P.D.,no
SR670,"Arts, Business, Law  & Economics",adjunct senior lecturer,0 to 5,Often,Research Rabbit,INADEQUATE P.D.,yes
SR671, Health & Medical Sciences,on fixed term ,5 to 10,Rarely,Midjourney,INADEQUATE P.D.,no
SR672, Health & Medical Sciences,tenured staff,5 to 10,Rarely,Bing AI,INADEQUATE P.D.,no
SR673,"Arts, Business, Law  & Economics",on fixed term ,>15,Rarely,Dalle-E,P.D. UNDERTAKEN,no
SR674,Not indicated ,tenured staff,>15,Often,Midjourney,P.D. UNDERTAKEN,no
SR675,"Arts, Business, Law  & Economics",on fixed term ,10 to 15,Sometimes,Otter,NO P.D.,no
SR676,Not indicated ,on fixed term ,10 to 15,Sometimes,Otter,P.D. UNDERTAKEN,no
SR677,Not indicated ,on fixed term ,0 to 5,Sometimes,Otter,INADEQUATE P.D.,yes
SR678,Not indicated ,adjunct senior lecturer,5 to 10,Often,Dalle-E,P.D. UNDERTAKEN,no
SR679,"Arts, Business, Law  & Economics",adjunct senior lecturer,5 to 10,Rarely,Otter,P.D. UNDERTAKEN,no
SR680,Not indicated ,tenured staff,5 to 10,Often,Grammarly,P.D. UNDERTAKEN,yes
SR681,"Science, Engineering  & Tech",tenured staff,10 to 15,Rarely,Midjourney,P.D. UNDERTAKEN,no
SR682,"Arts, Business, Law  & Economics",adjunct senior lecturer,>15,Often,Elicit,NO P.D.,yes
SR683,"Science, Engineering  & Tech",tenured staff,>15,Often,Otter,INADEQUATE P.D.,no
SR684,Not indicated ,adjunct senior lecturer,>15,Rarely,ChatGPT,INADEQUATE P.D.,yes
SR685, Health & Medical Sciences,on fixed term ,0 to 5,Sometimes,Elicit,NO P.D.,no
SR686,Not indicated ,tenured staff,0 to 5,Rarely,Dalle-E,INADEQUATE P.D.,yes
SR687,"Science, Engineering  & Tech",tenured staff,0 to 5,Never,Grammarly,INADEQUATE P.D.,no
SR688,"Science, Engineering  & Tech",adjunct senior lecturer,0 to 5,Never,ChatGPT,INADEQUATE P.D.,no
SR689,"Arts, Business, Law  & Economics",tenured staff,0 to 5,Rarely,ChatGPT,P.D. UNDERTAKEN,yes
SR690, Health & Medical Sciences,tenured staff,5 to 10,Often,ChatGPT,P.D. UNDERTAKEN,no
SR691,"Arts, Business, Law  & Economics",on fixed term ,5 to 10,Never,ChatGPT,NO P.D.,no
SR692,"Science, Engineering  & Tech",tenured staff,0 to 5,Never,Elicit,P.D. UNDERTAKEN,no
SR693,Not indicated ,on fixed term ,5 to 10,Often,Elicit,INADEQUATE P.D.,no
SR694, Health & Medical Sciences,adjunct senior lecturer,5 to 10,Often,Midjourney,P.D. UNDERTAKEN,yes
SR695,Not indicated ,tenured staff,5 to 10,Sometimes,Otter,NO P.D.,yes
SR696,Not indicated ,on fixed term ,10 to 15,Often,Research Rabbit,INADEQUATE P.D.,no
SR697, Health & Medical Sciences,adjunct senior lecturer,>15,Rarely,Midjourney,INADEQUATE P.D.,no
SR698,"Arts, Business, Law  & Economics",tenured staff,>15,Rarely,Midjourney,NO P.D.,no
SR699,Not indicated ,adjunct senior lecturer,>15,Sometimes,Grammarly,INADEQUATE P.D.,yes
SR700,"Science, Engineering  & Tech",tenured staff,0 to 5,Never,Grammarly,INADEQUATE P.D.,yes
SR701,Not indicated ,adjunct senior lecturer,5 to 10,Never,Otter,INADEQUATE P.D.,yes
SR702, Health & Medical Sciences,adjunct senior lecturer,5 to 10,Often,Research Rabbit,P.D. UNDERTAKEN,no
SR703, Health & Medical Sciences,on fixed term ,5 to 10,Rarely,Grammarly,P.D. UNDERTAKEN,yes
SR704, Health & Medical Sciences,adjunct senior lecturer,10 to 15,Never,Otter,NO P.D.,yes
SR705,"Arts, Business, Law  & Economics",tenured staff,>15,Sometimes,Otter,P.D. UNDERTAKEN,no
SR706,Not indicated ,tenured staff,>15,Sometimes,Elicit,P.D. UNDERTAKEN,yes
SR707,"Arts, Business, Law  & Economics",on fixed term ,>15,Rarely,Bing AI,NO P.D.,yes
SR708,"Arts, Business, Law  & Economics",tenured staff,0 to 5,Sometimes,Elicit,INADEQUATE P.D.,no
SR709, Health & Medical Sciences,tenured staff,0 to 5,Sometimes,Research Rabbit,INADEQUATE P.D.,no
SR710, Health & Medical Sciences,tenured staff,0 to 5,Rarely,Grammarly,NO P.D.,no
SR711,"Arts, Business, Law  & Economics",adjunct senior lecturer,0 to 5,Often,Research Rabbit,INADEQUATE P.D.,yes
SR712,Not indicated ,adjunct senior lecturer,0 to 5,Often,Midjourney,INADEQUATE P.D.,no
SR713,"Science, Engineering  & Tech",tenured staff,5 to 10,Sometimes,Midjourney,INADEQUATE P.D.,no
SR714,"Arts, Business, Law  & Economics",on fixed term ,5 to 10,Often,Research Rabbit,P.D. UNDERTAKEN,no
SR715,Not indicated ,adjunct senior lecturer,>15,Often,Bing AI,P.D. UNDERTAKEN,no
SR716, Health & Medical Sciences,on fixed term ,>15,Sometimes,Bing AI,NO P.D.,no
SR717, Health & Medical Sciences,tenured staff,10 to 15,Often,Elicit,P.D. UNDERTAKEN,no
SR718,Not indicated ,tenured staff,10 to 15,Sometimes,Research Rabbit,P.D. UNDERTAKEN,yes
SR719,"Science, Engineering  & Tech",adjunct senior lecturer,0 to 5,Never,Grammarly,NO P.D.,no
SR720, Health & Medical Sciences,tenured staff,5 to 10,Rarely,Elicit,INADEQUATE P.D.,yes
SR721, Health & Medical Sciences,adjunct senior lecturer,5 to 10,Rarely,Dalle-E,INADEQUATE P.D.,yes
SR722, Health & Medical Sciences,tenured staff,5 to 10,Often,Bing AI,NO P.D.,yes
SR723,Not indicated ,tenured staff,10 to 15,Often,ChatGPT,INADEQUATE P.D.,yes
SR724,"Arts, Business, Law  & Economics",adjunct senior lecturer,>15,Often,Elicit,INADEQUATE P.D.,no
SR725, Health & Medical Sciences,adjunct senior lecturer,>15,Rarely,Midjourney,INADEQUATE P.D.,no
SR726,"Arts, Business, Law  & Economics",adjunct senior lecturer,>15,Never,Elicit,P.D. UNDERTAKEN,no
SR727,"Science, Engineering  & Tech",tenured staff,0 to 5,Never,Research Rabbit,P.D. UNDERTAKEN,no
SR728, Health & Medical Sciences,tenured staff,0 to 5,Rarely,ChatGPT,NO P.D.,no
SR729, Health & Medical Sciences,on fixed term ,0 to 5,Never,Research Rabbit,P.D. UNDERTAKEN,yes
SR730,"Science, Engineering  & Tech",adjunct senior lecturer,0 to 5,Rarely,Otter,INADEQUATE P.D.,no
SR731, Health & Medical Sciences,tenured staff,0 to 5,Never,Midjourney,INADEQUATE P.D.,no
SR732,"Arts, Business, Law  & Economics",tenured staff,5 to 10,Sometimes,Midjourney,INADEQUATE P.D.,yes
SR733,Not indicated ,adjunct senior lecturer,5 to 10,Sometimes,Bing AI,P.D. UNDERTAKEN,no
SR734,"Arts, Business, Law  & Economics",on fixed term ,0 to 5,Rarely,Elicit,P.D. UNDERTAKEN,yes
SR735,Not indicated ,adjunct senior lecturer,5 to 10,Never,Bing AI,NO P.D.,no
SR736,Not indicated ,on fixed term ,5 to 10,Often,ChatGPT,P.D. UNDERTAKEN,no
SR737,"Arts, Business, Law  & Economics",tenured staff,5 to 10,Never,Elicit,INADEQUATE P.D.,no
SR738,"Arts, Business, Law  & Economics",on fixed term ,10 to 15,Sometimes,Otter,P.D. UNDERTAKEN,yes
SR739,"Arts, Business, Law  & Economics",tenured staff,>15,Sometimes,Research Rabbit,P.D. UNDERTAKEN,no
SR740,"Arts, Business, Law  & Economics",adjunct senior lecturer,>15,Never,Otter,P.D. UNDERTAKEN,yes
SR741,"Science, Engineering  & Tech",adjunct senior lecturer,>15,Never,Midjourney,P.D. UNDERTAKEN,no
SR742, Health & Medical Sciences,adjunct senior lecturer,0 to 5,Often,ChatGPT,NO P.D.,yes
SR743,Not indicated ,on fixed term ,5 to 10,Often,Dalle-E,INADEQUATE P.D.,no
SR744,"Arts, Business, Law  & Economics",tenured staff,5 to 10,Never,ChatGPT,INADEQUATE P.D.,yes
SR745,"Arts, Business, Law  & Economics",adjunct senior lecturer,5 to 10,Never,Grammarly,NO P.D.,no
SR746,"Arts, Business, Law  & Economics",adjunct senior lecturer,10 to 15,Never,ChatGPT,INADEQUATE P.D.,no
SR747,"Science, Engineering  & Tech",tenured staff,>15,Never,Otter,INADEQUATE P.D.,yes
SR748,"Arts, Business, Law  & Economics",adjunct senior lecturer,>15,Rarely,Grammarly,INADEQUATE P.D.,no
SR749,"Arts, Business, Law  & Economics",tenured staff,>15,Never,Grammarly,P.D. UNDERTAKEN,no
SR750,"Arts, Business, Law  & Economics",tenured staff,0 to 5,Often,Elicit,P.D. UNDERTAKEN,yes
SR751, Health & Medical Sciences,tenured staff,0 to 5,Sometimes,Elicit,NO P.D.,no
SR752,"Science, Engineering  & Tech",tenured staff,0 to 5,Rarely,Grammarly,P.D. UNDERTAKEN,no
SR753,"Arts, Business, Law  & Economics",tenured staff,0 to 5,Never,Dalle-E,INADEQUATE P.D.,yes
SR754,Not indicated ,on fixed term ,0 to 5,Sometimes,Elicit,P.D. UNDERTAKEN,yes
SR755,Not indicated ,adjunct senior lecturer,5 to 10,Rarely,ChatGPT,P.D. UNDERTAKEN,yes
SR756,Not indicated ,on fixed term ,5 to 10,Sometimes,Otter,P.D. UNDERTAKEN,no
SR757,"Science, Engineering  & Tech",adjunct senior lecturer,>15,Never,ChatGPT,P.D. UNDERTAKEN,no
SR758,"Science, Engineering  & Tech",on fixed term ,>15,Never,Dalle-E,NO P.D.,yes
SR759,Not indicated ,tenured staff,10 to 15,Often,Midjourney,INADEQUATE P.D.,no
SR760,"Arts, Business, Law  & Economics",adjunct senior lecturer,10 to 15,Never,Bing AI,INADEQUATE P.D.,no
SR761,"Science, Engineering  & Tech",adjunct senior lecturer,0 to 5,Never,Otter,NO P.D.,no
SR762,Not indicated ,on fixed term ,5 to 10,Rarely,Elicit,INADEQUATE P.D.,yes
SR763,Not indicated ,on fixed term ,5 to 10,Often,Otter,INADEQUATE P.D.,no
SR764,"Arts, Business, Law  & Economics",adjunct senior lecturer,5 to 10,Rarely,ChatGPT,INADEQUATE P.D.,yes
SR765, Health & Medical Sciences,on fixed term ,10 to 15,Sometimes,Bing AI,P.D. UNDERTAKEN,yes
SR766,"Science, Engineering  & Tech",on fixed term ,>15,Never,Research Rabbit,P.D. UNDERTAKEN,no
SR767,"Arts, Business, Law  & Economics",on fixed term ,>15,Sometimes,Research Rabbit,NO P.D.,yes
SR768,Not indicated ,tenured staff,>15,Rarely,Elicit,P.D. UNDERTAKEN,yes
SR769,Not indicated ,tenured staff,0 to 5,Never,Dalle-E,INADEQUATE P.D.,no
SR770,"Arts, Business, Law  & Economics",on fixed term ,0 to 5,Never,Research Rabbit,P.D. UNDERTAKEN,no
SR771,"Science, Engineering  & Tech",on fixed term ,0 to 5,Rarely,Otter,P.D. UNDERTAKEN,yes
SR772, Health & Medical Sciences,tenured staff,0 to 5,Rarely,Research Rabbit,P.D. UNDERTAKEN,no
SR773, Health & Medical Sciences,tenured staff,0 to 5,Rarely,Midjourney,P.D. UNDERTAKEN,no
SR774,Not indicated ,adjunct senior lecturer,5 to 10,Rarely,Midjourney,NO P.D.,no
SR775,"Science, Engineering  & Tech",adjunct senior lecturer,5 to 10,Rarely,Elicit,INADEQUATE P.D.,no
